Approved Symbol	Approved Name	Entrez Gene ID	Mouse Genome Database ID	RefSeq IDs
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	100420505	MGI:2429506	NG_024129
ADAM2	ADAM metallopeptidase domain 2	2515	MGI:1340894	NM_001464
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	1587	MGI:102518	NR_001569
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	1596		NG_001526
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	255926	MGI:104730	NR_001448
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	8755	MGI:2676316	NR_002224
ADAM7	ADAM metallopeptidase domain 7	8756	MGI:107247	NM_003817
ADAM8	ADAM metallopeptidase domain 8	101	MGI:107825	NM_001109
ADAM9	ADAM metallopeptidase domain 9	8754	MGI:105376	
ADAM10	ADAM metallopeptidase domain 10	102	MGI:109548	NM_001110
ADAM11	ADAM metallopeptidase domain 11	4185	MGI:1098667	NM_002390
ADAM12	ADAM metallopeptidase domain 12	8038	MGI:105378	
ADAM12-OT1~withdrawn	entry withdrawn			
ADAM15	ADAM metallopeptidase domain 15	8751	MGI:1333882	NM_003815
ADAM17	ADAM metallopeptidase domain 17	6868	MGI:1096335	
ADAM18	ADAM metallopeptidase domain 18	8749	MGI:105986	NM_014237
ADAM19	ADAM metallopeptidase domain 19	8728	MGI:105377	NM_033274
ADAM20	ADAM metallopeptidase domain 20	8748		
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	317760		NR_037933
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	100533671		
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3	644325		
ADAM21	ADAM metallopeptidase domain 21	8747	MGI:1861229	
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	145241		NG_002467
ADAM22	ADAM metallopeptidase domain 22	53616	MGI:1340046	NM_021723
ADAM23	ADAM metallopeptidase domain 23	8745	MGI:1345162	NM_003812
ADAM24P	ADAM metallopeptidase domain 24, pseudogene	646479	MGI:105984	
ADAM28	ADAM metallopeptidase domain 28	10863	MGI:105988	NM_021778
ADAM29	ADAM metallopeptidase domain 29	11086	MGI:2676326	
ADAM30	ADAM metallopeptidase domain 30	11085	MGI:1918328	NM_021794
ADAM32	ADAM metallopeptidase domain 32	203102	MGI:2653822	NM_145004
ADAM33	ADAM metallopeptidase domain 33	80332	MGI:1341813	NM_025220
ADAMDEC1	ADAM like decysin 1	27299	MGI:1917650	NM_014479
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	MGI:109249	
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	9509	MGI:1347356	NM_014244
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508	MGI:3045353	
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	9507	MGI:1339949	NM_005099
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11096	MGI:1346321	
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	11174	MGI:1347348	NM_197941
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	11173	MGI:1347346	NM_014272
ADAMTS7P1	ADAMTS7 pseudogene 1	390660		
ADAMTS7P2~withdrawn	symbol withdrawn, see ADAMTS7P1			
ADAMTS7P3	ADAMTS7 pseudogene 3	400406		
ADAMTS7P4	ADAMTS7 pseudogene 4	642935		
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11095	MGI:1353468	NM_007037
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	MGI:1916320	
ADAMTS9-AS1	ADAMTS9 antisense RNA 1	101929335		NR_110150
ADAMTS9-AS2	ADAMTS9 antisense RNA 2	100507098		NR_038264
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	81794	MGI:2449112	NM_030957
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	81792	MGI:2146046	NM_030955
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	11093	MGI:2685556	NM_139025
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	140766	MGI:2179942	NM_080722
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	170689	MGI:2449569	NM_139055
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	170690	MGI:2429637	NM_139056
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	170691	MGI:3588195	NM_139057
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	170692	MGI:2442600	
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	171019	MGI:2442875	NM_133638
ADAMTS19-AS1	ADAMTS19 antisense RNA 1			
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	80070	MGI:2660628	NM_025003
ADAMTS21~withdrawn	symbol withdrawn, see ADAMTS18			
ADAMTSL1	ADAMTS like 1	92949	MGI:1924989	
ADAMTSL2	ADAMTS like 2	9719	MGI:1925044	NM_014694
ADAMTSL3	ADAMTS like 3	57188	MGI:3028499	NM_207517
ADAMTSL4	ADAMTS like 4	54507	MGI:2389008	NM_019032
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1			
ADAMTSL5	ADAMTS like 5	339366	MGI:1913798	NM_213604
ADAP1	ArfGAP with dual PH domains 1	11033	MGI:2442201	NM_006869
ADAP2	ArfGAP with dual PH domains 2	55803	MGI:2663075	NM_018404
ADAR	adenosine deaminase, RNA specific	103	MGI:1889575	NM_001111
ADARB1	adenosine deaminase, RNA specific B1	104	MGI:891999	NM_015833
ADARB2	adenosine deaminase, RNA specific B2 (inactive)	105	MGI:2151118	NM_018702
ADARB2-AS1	ADARB2 antisense RNA 1	642394		NR_033387
ADAT1	adenosine deaminase, tRNA specific 1	23536	MGI:1353631	NM_012091
ADAT2	adenosine deaminase, tRNA specific 2	134637	MGI:1914007	NM_001286259
ADAT3	adenosine deaminase, tRNA specific 3	113179	MGI:1924344	NM_138422
ADCK1	aarF domain containing kinase 1	57143	MGI:1919363	NM_020421
ADCK2	aarF domain containing kinase 2	90956	MGI:1889336	NM_052853
ADCK5	aarF domain containing kinase 5	203054	MGI:2679274	NM_174922
ADCP1	adenosine deaminase complexing protein 1	106		
ADCP2~withdrawn	symbol withdrawn, see DPP4			
ADCR~withdrawn	symbol withdrawn, see WT2			
ADCY1	adenylate cyclase 1	107	MGI:99677	NM_021116
ADCY2	adenylate cyclase 2	108	MGI:99676	NM_020546
ADCY3	adenylate cyclase 3	109	MGI:99675	
ADCY4	adenylate cyclase 4	196883	MGI:99674	
ADCY5	adenylate cyclase 5	111	MGI:99673	NM_183357
ADCY6	adenylate cyclase 6	112	MGI:87917	NM_020983
ADCY7	adenylate cyclase 7	113	MGI:102891	
ADCY8	adenylate cyclase 8	114	MGI:1341110	
ADCY9	adenylate cyclase 9	115	MGI:108450	
ADCY10	adenylate cyclase 10	55811	MGI:2660854	NM_018417
ADCY10P1	adenylate cyclase 10, soluble pseudogene 1	221442		NR_026938
ADCYAP1	adenylate cyclase activating polypeptide 1	116	MGI:105094	NM_001117
ADCYAP1R1	ADCYAP receptor type I	117	MGI:108449	NM_001118
ADD1	adducin 1	118	MGI:87918	NM_014189
ADD2	adducin 2	119	MGI:87919	NM_001617
ADD3	adducin 3	120	MGI:1351615	NM_019903
ADD3-AS1	ADD3 antisense RNA 1	100505933		NR_038943
ADDL~withdrawn	symbol withdrawn, see ADD3			
ADFN	albinism-deafness syndrome	122		
ADGB	androglobin	79747	MGI:3605549	NM_024694
ADGRA1	adhesion G protein-coupled receptor A1	84435	MGI:1277167	
ADGRA1-AS1	adhesion G protein-coupled receptor A1 antisense RNA 1			
ADGRA2	adhesion G protein-coupled receptor A2	25960	MGI:1925810	
ADGRA3	adhesion G protein-coupled receptor A3	166647	MGI:1917943	
ADGRB1	adhesion G protein-coupled receptor B1	575	MGI:1933736	NM_001702
ADGRB2	adhesion G protein-coupled receptor B2	576	MGI:2451244	NM_001703
ADGRB3	adhesion G protein-coupled receptor B3	577	MGI:2441837	
ADGRD1	adhesion G protein-coupled receptor D1	283383	MGI:3041203	NM_198827
ADGRD1-AS1	ADGRD1 antisense RNA 1	105755954		NR_131950
ADGRD2	adhesion G protein-coupled receptor D2	347088		NM_182611
ADGRE1	adhesion G protein-coupled receptor E1	2015	MGI:106912	
ADGRE2	adhesion G protein-coupled receptor E2	30817		
ADGRE3	adhesion G protein-coupled receptor E3	84658		NM_032571
ADGRE4P	adhesion G protein-coupled receptor E4, pseudogene	326342	MGI:1196464	NR_024075
ADGRE5	adhesion G protein-coupled receptor E5	976	MGI:1347095	NM_078481
ADGRF1	adhesion G protein-coupled receptor F1	266977	MGI:1924846	NM_153840
ADGRF2	adhesion G protein-coupled receptor F2	222611	MGI:2182728	NM_153839
ADGRF3	adhesion G protein-coupled receptor F3	165082	MGI:2685887	NM_153835
ADGRF4	adhesion G protein-coupled receptor F4	221393	MGI:1925499	NM_153838
ADGRF5	adhesion G protein-coupled receptor F5	221395	MGI:2182928	NM_015234
ADGRF5P1	adhesion G protein-coupled receptor F5 pseudogene 1	389740		
ADGRF5P2	adhesion G protein-coupled receptor F5 pseudogene 2	441416		
ADGRG1	adhesion G protein-coupled receptor G1	9289	MGI:1340051	
ADGRG2	adhesion G protein-coupled receptor G2	10149	MGI:2446854	
ADGRG3	adhesion G protein-coupled receptor G3	222487	MGI:1859670	NM_170776
ADGRG4	adhesion G protein-coupled receptor G4	139378	MGI:2685213	
ADGRG5	adhesion G protein-coupled receptor G5	221188	MGI:2685955	NM_153837
ADGRG6	adhesion G protein-coupled receptor G6	57211	MGI:1916151	
ADGRG7	adhesion G protein-coupled receptor G7	84873	MGI:2441732	
ADGRL1	adhesion G protein-coupled receptor L1	22859	MGI:1929461	NM_014921
ADGRL2	adhesion G protein-coupled receptor L2	23266	MGI:2139714	NM_012302
ADGRL3	adhesion G protein-coupled receptor L3	23284	MGI:2441950	
ADGRL3-AS1	adhesion G protein-coupled receptor L3 antisense RNA 1	101927186		
ADGRL4	adhesion G protein-coupled receptor L4	64123	MGI:2655562	NM_022159
ADGRV1	adhesion G protein-coupled receptor V1	84059	MGI:1274784	NM_032119
ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	124	MGI:87921	NM_000667
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125	MGI:87921	NM_000668
ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	MGI:87921	NM_000669
ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	127	MGI:1349472	NM_000670
ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128	MGI:87929	NM_000671
ADH5P1~withdrawn	entry withdrawn			
ADH5P2	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2	343296		
ADH5P3	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 3	100131810		
ADH5P4	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4	642443		XM_208352
ADH6	alcohol dehydrogenase 6 (class V)	130		NM_000672
ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	131	MGI:87926	NM_000673
ADHFE1	alcohol dehydrogenase, iron containing 1	137872	MGI:1923437	NM_144650
ADI1	acireductone dioxygenase 1	55256	MGI:2144929	NM_018269
ADI1P1	acireductone dioxygenase 1 pseudogene 1	100130936		
ADI1P2	acireductone dioxygenase 1 pseudogene 2	100288971		
ADI1P3	acireductone dioxygenase 1 pseudogene 3	100288129		
ADIG	adipogenin	149685	MGI:2675492	NM_001018082
ADIPOQ	adiponectin, C1Q and collagen domain containing	9370	MGI:106675	NM_004797
ADIPOQ-AS1	ADIPOQ antisense RNA 1	100874095		NR_046662
ADIPOR1	adiponectin receptor 1	51094	MGI:1919924	NM_015999
ADIPOR1P1	adiponectin receptor 1 pseudogene 1	645220		NG_022165
ADIPOR1P2	adiponectin receptor 1 pseudogene 2	390503		NG_022863
ADIPOR2	adiponectin receptor 2	79602	MGI:93830	NM_024551
ADIR~withdrawn	symbol withdrawn, see TOR3A			
ADIRF	adipogenesis regulatory factor	10974		NM_006829
ADIRF-AS1	ADIRF antisense RNA 1	100133190		
ADK	adenosine kinase	132	MGI:87930	NM_006721
ADL~withdrawn	symbol withdrawn, see SGCA			
ADM	adrenomedullin	133	MGI:108058	NM_001124
ADM2	adrenomedullin 2	79924	MGI:2675256	NM_024866
ADM5	adrenomedullin 5 (putative)	199800		NM_001101340
ADMLX~withdrawn	symbol withdrawn, see ANOS1			
ADMLY~withdrawn	symbol withdrawn, see ANOS2P			
ADNP	activity dependent neuroprotector homeobox	23394	MGI:1338758	NM_181442
ADNP-AS1	ADNP antisense RNA 1	101927631		NR_110009
ADNP2	ADNP homeobox 2	22850	MGI:2448562	NM_014913
ADO	2-aminoethanethiol dioxygenase	84890	MGI:2685083	NM_032804
ADORA1	adenosine A1 receptor	134	MGI:99401	NM_000674
ADORA2A	adenosine A2a receptor	135	MGI:99402	NM_000675
ADORA2A-AS1	ADORA2A antisense RNA 1	646023		NR_028483
ADORA2B	adenosine A2b receptor	136	MGI:99403	
ADORA2BP1	adenosine A2b receptor pseudogene 1	137		NG_000843
ADORA2L1~withdrawn	entry withdrawn			
ADORA2L2~withdrawn	entry withdrawn			
ADORA3	adenosine A3 receptor	140	MGI:104847	NM_000677, NM_020683
ADPGK	ADP dependent glucokinase	83440	MGI:1919391	NM_031284
ADPGK-AS1	ADPGK antisense RNA 1	100287559		NR_040107
ADPRH	ADP-ribosylarginine hydrolase	141	MGI:1098234	NM_001125
ADPRHL1	ADP-ribosylhydrolase like 1	113622	MGI:2442168	NM_138430
ADPRHL2	ADP-ribosylhydrolase like 2	54936	MGI:2140364	NM_017825
ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	56985	MGI:1913608	NM_020233
ADRA1A	adrenoceptor alpha 1A	148	MGI:104773	NM_033303
ADRA1B	adrenoceptor alpha 1B	147	MGI:104774	
ADRA1C~withdrawn	symbol withdrawn, see ADRA1A			
ADRA1D	adrenoceptor alpha 1D	146	MGI:106673	NM_000678
ADRA2A	adrenoceptor alpha 2A	150	MGI:87934	NM_000681
ADRA2B	adrenoceptor alpha 2B	151	MGI:87935	
ADRA2C	adrenoceptor alpha 2C	152	MGI:87936	NM_000683
ADRA2L1~withdrawn	symbol withdrawn, see ADRA2B			
ADRB1	adrenoceptor beta 1	153	MGI:87937	
ADRB2	adrenoceptor beta 2	154	MGI:87938	NM_000024
ADRB2RL1~withdrawn	symbol withdrawn, see HTR1A			
ADRB3	adrenoceptor beta 3	155	MGI:87939	NM_000025
ADRM1	adhesion regulating molecule 1	11047	MGI:1929289	
ADSL	adenylosuccinate lyase	158	MGI:103202	NM_000026
ADSS	adenylosuccinate synthase	159	MGI:87948	NM_001126
ADSSL1	adenylosuccinate synthase like 1	122622	MGI:87947	
ADT~withdrawn	entry withdrawn			
ADTAA~withdrawn	symbol withdrawn, see AP2A1			
ADTAB~withdrawn	symbol withdrawn, see AP2A2			
ADTB1~withdrawn	symbol withdrawn, see AP1B1			
ADTB2~withdrawn	symbol withdrawn, see AP2B1			
ADTG~withdrawn	symbol withdrawn, see AP1G1			
ADTRP	androgen dependent TFPI regulating protein	84830	MGI:1924596	NM_032744
AE1~withdrawn	symbol withdrawn, see SLC4A1			
AE2~withdrawn	symbol withdrawn, see SLC4A2			
AEBP1	AE binding protein 1	165	MGI:1197012	NM_001129
AEBP2	AE binding protein 2	121536	MGI:1338038	NM_153207
AEMK~withdrawn	symbol withdrawn, see KCNA1			
AEN	apoptosis enhancing nuclease	64782	MGI:1915298	NM_022767
AEPLC~withdrawn	symbol withdrawn, see BACE2			
AES	amino-terminal enhancer of split	166	MGI:95806	NM_198969
AEZ~withdrawn	symbol withdrawn, see SLC39A4			
AF8T	AF8 temperature sensitivity complementing			
AFA	ankyloblepharon filiforme adnatum			
AFAP1	actin filament associated protein 1	60312	MGI:1917542	NM_021638
AFAP1-AS1	AFAP1 antisense RNA 1	84740		NR_026892
AFAP1L1	actin filament associated protein 1 like 1	134265	MGI:2147199	NM_152406
AFAP1L2	actin filament associated protein 1 like 2	84632	MGI:2147658	NM_032550
AFCP~withdrawn	symbol withdrawn, see CAPG			
AFD1	acrofacial dysostosis 1, Nager type			
AFDN	afadin, adherens junction formation factor	4301	MGI:1314653	NM_005936
AFDN-DT	AFDN divergent transcript	653483		NR_027906
AFF1	AF4/FMR2 family member 1	4299	MGI:1100819	NM_005935
AFF1-AS1	AFF1 antisense RNA 1	100506746		NR_038841
AFF2	AF4/FMR2 family member 2	2334	MGI:1202294	NM_002025
AFF2-IT1	AFF2 intronic transcript 1			
AFF3	AF4/FMR2 family member 3	3899	MGI:106927	NM_002285
AFF4	AF4/FMR2 family member 4	27125	MGI:2136171	NM_014423
AFG1L	AFG1 like ATPase	246269	MGI:2148801	NM_145315
AFG3~withdrawn	symbol withdrawn, see AFG3L1P			
AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	172	MGI:1928277	NR_003226
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	10939	MGI:1916847	NM_006796
AFG3L2P1	AFG3 like AAA ATPase 2 pseudogene 1	347028		
AFM	afamin	173	MGI:2429409	
AFMID	arylformamidase	125061	MGI:2448704	NM_001145526
AFP	alpha fetoprotein	174	MGI:87951	
AFTPH	aftiphilin	54812	MGI:1923012	NM_017657
AGA	aspartylglucosaminidase	175	MGI:104873	NM_000027
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	116987	MGI:2653690	NM_014914
AGAP1-IT1	AGAP1 intronic transcript 1	100506749		
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	116986	MGI:3580016	NM_014770
AGAP2-AS1	AGAP2 antisense RNA 1	100130776		NR_027032
AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	116988	MGI:2183446	NM_031946
AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4	119016		NM_133446
AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5	729092		NM_001144000
AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	414189		NM_001077665
AGAP7P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene	653268		NM_001077685
AGAP8~withdrawn	symbol withdrawn, see AGAP4			
AGAP9	ArfGAP with GTPase domain, ankyrin repeat and PH domain 9	642517		NM_001190810
AGAP10~withdrawn	symbol withdrawn, see AGAP10P			
AGAP10P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 10 pseudogene	653234		NG_005805
AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11	119385		NM_133447
AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene	414224		
AGAP13P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 13, pseudogene	728005		
AGAP14P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 14, pseudogene	653259		NG_005806
AGBL1	ATP/GTP binding protein like 1	123624	MGI:3646469	NM_152336
AGBL1-AS1	AGBL1 antisense RNA 1	727915		
AGBL2	ATP/GTP binding protein like 2	79841	MGI:2443254	NM_024783
AGBL3	ATP/GTP binding protein like 3	340351	MGI:1923473	NM_178563
AGBL4	ATP/GTP binding protein like 4	84871	MGI:1918244	NM_032785
AGBL4-IT1	AGBL4 intronic transcript 1			
AGBL5	ATP/GTP binding protein like 5	60509	MGI:2441745	NM_021831
AGBL5-AS1	AGBL5 antisense RNA 1			
AGBL5-IT1	AGBL5 intronic transcript 1			
AGER	advanced glycosylation end-product specific receptor	177	MGI:893592	NM_001136
AGFG1	ArfGAP with FG repeats 1	3267	MGI:1333754	NM_004504
AGFG2	ArfGAP with FG repeats 2	3268	MGI:2443267	NM_006076
AGGF1	angiogenic factor with G-patch and FHA domains 1	55109	MGI:1913799	NM_018046
AGGF1P1	angiogenic factor with G-patch and FHA domains 1 pseudogene 1	100132380		
AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2	644435		NG_005569
AGGF1P3	angiogenic factor with G-patch and FHA domains 1 pseudogene 3	391552		
AGGF1P4	angiogenic factor with G-patch and FHA domains 1 pseudogene 4	100129351		
AGGF1P5	angiogenic factor with G-patch and FHA domains 1 pseudogene 5	100128103		
AGGF1P6	angiogenic factor with G-patch and FHA domains 1 pseudogene 6			
AGGF1P7	angiogenic factor with G-patch and FHA domains 1 pseudogene 7	100132606		
AGGF1P8	angiogenic factor with G-patch and FHA domains 1 pseudogene 8	100128804		
AGGF1P9	angiogenic factor with G-patch and FHA domains 1 pseudogene 9	100127958		
AGGF1P10	angiogenic factor with G-patch and FHA domains 1 pseudogene 10	100288774		
AGK	acylglycerol kinase	55750	MGI:1917173	NM_018238
AGKP1	acylglycerol kinase pseudogene 1	359793		NG_002810
AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	178	MGI:1924809	NM_000028
AGMAT	agmatinase	79814	MGI:1923236	NM_024758
AGMO	alkylglycerol monooxygenase	392636	MGI:2442495	NM_001004320
AGMX1~withdrawn	symbol withdrawn, see BTK			
AGMX2	agammaglobulinemia, X-linked 2 (with growth hormone deficiency)			
AGO1	argonaute 1, RISC catalytic component	26523	MGI:2446630	
AGO2	argonaute 2, RISC catalytic component	27161	MGI:2446632	NM_012154
AGO3	argonaute 3, RISC catalytic component	192669	MGI:2446634	NM_024852
AGO4	argonaute 4, RISC catalytic component	192670	MGI:1924100	NM_017629
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	10554	MGI:1932075	NM_006411
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	10555	MGI:1914762	NM_006412
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	56894	MGI:1336186	NM_020132
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	56895	MGI:1915512	NM_020133
AGPAT4-IT1	AGPAT4 intronic transcript 1	79992		NR_024277
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	55326	MGI:1196345	NM_018361
AGPAT5P1	1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1	646231		
AGPS	alkylglycerone phosphate synthase	8540	MGI:2443065	
AGR2	anterior gradient 2, protein disulphide isomerase family member	10551	MGI:1344405	NM_006408
AGR3	anterior gradient 3, protein disulphide isomerase family member	155465	MGI:2685734	NM_176813
AGRN	agrin	375790	MGI:87961	NM_198576
AGRP	agouti related neuropeptide	181	MGI:892013	
AGS~withdrawn	symbol withdrawn, see JAG1			
AGS1~withdrawn	symbol withdrawn, see TREX1			
AGS2~withdrawn	symbol withdrawn, see RNASEH2B			
AGT	angiotensinogen	183	MGI:87963	NM_000029
AGTBP~withdrawn	symbol withdrawn, see NLN			
AGTIL~withdrawn	symbol withdrawn, see ASIP			
AGTPBP1	ATP/GTP binding protein 1	23287	MGI:2159437	NM_015239
AGTR1	angiotensin II receptor type 1	185	MGI:87965	
AGTR1B~withdrawn	symbol withdrawn, see AGTR1			
AGTR2	angiotensin II receptor type 2	186	MGI:87966	NM_000686
AGTRAP	angiotensin II receptor associated protein	57085	MGI:1339977	NM_020350
AGTRL2~withdrawn	entry withdrawn			
AGXT	alanine-glyoxylate aminotransferase	189	MGI:1329033	NM_000030
AGXT2	alanine--glyoxylate aminotransferase 2	64902	MGI:2146052	NM_031900
AHC~withdrawn	symbol withdrawn, see NR0B1			
AHCTF1	AT-hook containing transcription factor 1	25909	MGI:1915033	NM_015446
AHCTF1P1	AT-hook containing transcription factor 1 pseudogene 1	285116		NG_002622
